,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2072,D-Mannose (Mannose),966,Ruminococcus gnavus,2,0.0013121756193249512,10,4599
1,2204,"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)",54,Alistipes putredinis,2,0.0016156718239358492,11,13178
2,2134,"L-Glutamine (D-Glutamine, Glutamine)",425,Eggerthella lenta,2,0.0004917060830713638,46,8533
3,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",513,Haemophilus parainfluenzae,2,0.0006283270446116873,50,9047
4,2122,Isovalerate (3-Methylbutanoic acid),119,Bacteroides caccae,3,0.02233991066426011,72,23622
5,2011,4-Aminobutyrate (GABA),420,Dorea formicigenerans,3,-6.877775356961546e-05,73,16668
6,2122,Isovalerate (3-Methylbutanoic acid),157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",3,0.0013348967015799351,78,23639
7,2081,Deoxycholic acid,1007,Shigella sonnei,2,0.0005485820198445346,86,5250
8,2122,Isovalerate (3-Methylbutanoic acid),9,Acidaminococcus fermentans,3,0.0003893056655742688,95,23616
9,2122,Isovalerate (3-Methylbutanoic acid),119,Bacteroides caccae,2,0.0017212427283740395,104,7710
10,2122,Isovalerate (3-Methylbutanoic acid),1007,Shigella sonnei,3,0.013523851720395608,125,23682
11,2122,Isovalerate (3-Methylbutanoic acid),1064,Streptococcus salivarius,3,0.007319467125771473,126,23685
12,2042,Carbon monoxide (CO),129,Bacteroides ovatus,3,-0.00043294828831152987,149,18661
13,2122,Isovalerate (3-Methylbutanoic acid),55,Alistipes shahii,2,0.0003120406830759981,162,7707
14,2065,D-Galacturonate,456,Eubacterium limosum,3,-0.00011991382511422621,196,19984
15,2011,4-Aminobutyrate (GABA),131,Bacteroides plebeius,2,-0.00047179702956168246,204,734
16,2203,Putrescine,133,Bacteroides stercoris,2,-0.00066272619355634,223,13119
17,2122,Isovalerate (3-Methylbutanoic acid),965,Ruminococcus flavefaciens,3,0.0035659865274402236,250,23678
18,2068,D-Glucose (Glucose),878,Prevotella salivae,2,0.0019943382878661042,268,4304
19,2130,L-Carnitine (D-Carnitine),125,Bacteroides finegoldii (Alistipes finegoldii),3,0.0018848666873739761,272,24131
20,2137,L-Homoserine,9,Acidaminococcus fermentans,3,0.0005450803545336003,277,24624
21,2122,Isovalerate (3-Methylbutanoic acid),870,Prevotella copri,2,0.001426199620524038,300,7759
22,2241,Xanthine,158,Bifidobacterium pseudocatenulatum,3,0.0031450384938981335,413,31632
23,2100,Glycocholate,119,Bacteroides caccae,3,0.0020954246451243552,487,22254
24,2122,Isovalerate (3-Methylbutanoic acid),878,Prevotella salivae,3,0.0004472689797624385,501,23672
25,2163,Menaquinone (Vitamin K2),1007,Shigella sonnei,3,0.004927396832729691,536,26562
26,2122,Isovalerate (3-Methylbutanoic acid),135,Bacteroides uniformis,2,-0.00017219797338730025,540,7721
27,2122,Isovalerate (3-Methylbutanoic acid),456,Eubacterium limosum,3,0.0004547118784555826,547,23656
28,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",122,Bacteroides coprophilus,3,0.0010904837591726446,551,24344
29,2122,Isovalerate (3-Methylbutanoic acid),454,Eubacterium eligens,3,5.7216168675933154e-05,605,23654
30,2065,D-Galacturonate,464,Faecalibacterium prausnitzii,3,0.006793899378846779,609,19988
31,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",314,Clostridium leptum,2,0.0010215661241692597,645,9029
32,2217,Succinate,796,Odoribacter splanchnicus,2,0.005788749434981644,735,14090
33,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",149,Bifidobacterium adolescentis,2,0.0007610917884586232,743,8443
34,2122,Isovalerate (3-Methylbutanoic acid),551,Holdemania filiformis,3,-0.00024472085694426937,756,23664
35,2234,Trimethylamine N-oxide (Trimethylamine-N-oxide),133,Bacteroides stercoris,2,0.0005891665341497543,760,15207
36,2238,Urea,1064,Streptococcus salivarius,3,0.006630168492779087,775,31461
37,2184,Oleic acid ([9Z]-Octadecenoic acid),1007,Shigella sonnei,3,0.0007517513119881247,786,27858
38,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",456,Eubacterium limosum,3,0.0012959959846610136,811,24376
39,2125,"L-Alanine (D-Alanine, Alanine)",55,Alistipes shahii,3,0.0006790534580281005,858,23763
40,2038,Butyrate,55,Alistipes shahii,2,0.001384111997033033,866,2523
