,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",54,Alistipes putredinis,2,0.016618022375916697,87,8426
1,2011,4-Aminobutyrate (GABA),1064,Streptococcus salivarius,3,0.017326018489481343,104,16701
2,2242,XOS (Xylooligosaccharide),966,Ruminococcus gnavus,2,0.002121987996950625,106,15831
3,2203,Putrescine,1099,Sutterella wadsworthensis,2,-0.0005465844184058266,113,13175
4,2064,D-Galactose,119,Bacteroides caccae,3,0.0005698553330060196,121,19878
5,2101,Glycodeoxycholate,157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",3,0.0015333193689288649,136,22343
6,2064,D-Galactose,55,Alistipes shahii,2,0.0001888716415804348,167,3963
7,2122,Isovalerate (3-Methylbutanoic acid),123,Bacteroides dorei,3,0.03502791370355962,171,23625
8,2082,"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)",461,Eubacterium ventriosum,3,0.00026195839398457377,192,21211
9,2120,Isomaltose,796,Odoribacter splanchnicus,3,0.000723706034153726,236,23522
10,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",425,Eggerthella lenta,2,0.000670203890109522,243,8461
11,2122,Isovalerate (3-Methylbutanoic acid),124,Bacteroides eggerthii,3,0.0030530890533236876,247,23626
12,2122,Isovalerate (3-Methylbutanoic acid),123,Bacteroides dorei,2,0.0012104689475193053,252,7713
13,2122,Isovalerate (3-Methylbutanoic acid),455,Eubacterium hallii,3,0.0033349936187431206,267,23655
14,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",804,Oxalobacter formigenes,2,-0.0007549715082632025,271,8475
15,2011,4-Aminobutyrate (GABA),870,Prevotella copri,3,0.00024637532081628333,300,16687
16,2122,Isovalerate (3-Methylbutanoic acid),134,Bacteroides thetaiotaomicron,2,0.0012918900651746057,302,7720
17,2115,Indole-3-acetate (Indoleacetate),454,Eubacterium eligens,3,0.0014773219386652325,310,23150
18,2122,Isovalerate (3-Methylbutanoic acid),1007,Shigella sonnei,3,-6.932896108324815e-05,368,23682
19,2011,4-Aminobutyrate (GABA),134,Bacteroides thetaiotaomicron,3,0.0003613996853222279,417,16648
20,2082,"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)",461,Eubacterium ventriosum,3,0.0002082098537949939,485,21211
21,2242,XOS (Xylooligosaccharide),878,Prevotella salivae,2,0.0008694391163460713,521,15824
22,2011,4-Aminobutyrate (GABA),460,Eubacterium siraeum,3,0.0003445079312164312,546,16674
23,2122,Isovalerate (3-Methylbutanoic acid),953,Roseburia inulinivorans,2,-0.0001797380583142827,553,7764
24,2101,Glycodeoxycholate,1064,Streptococcus salivarius,3,0.010117437784574412,572,22389
25,2127,L-Arginine (Arginine),425,Eggerthella lenta,3,0.0017546490746518373,577,23941
