,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2204,"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)",54,Alistipes putredinis,2,0.00685752977447085,9,36239
1,2046,Chenodeoxycholic acid (Chenodeoxycholate),969,Ruminococcus torques,3,0.00014363363325387013,10,52042
2,2201,Propanoate (Propionate),1099,Sutterella wadsworthensis,2,0.0015927961085008269,30,35833
3,2035,Biotin (Vitamin B7),46,Akkermansia muciniphila,2,0.0005664012210929714,83,6340
4,2234,Trimethylamine N-oxide (Trimethylamine-N-oxide),969,Ruminococcus torques,2,0.011261137130234466,98,41944
5,2179,"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)",966,Ruminococcus gnavus,2,-0.00010071213124551726,109,31843
6,2237,Uracil,120,Bacteroides cellulosilyticus,3,0.00045096301809188777,110,86147
7,2212,Spermidine,75,Anaerostipes caccae,3,0.00033284632888841426,140,81586
8,2149,"L-Rhamnose (Rhamnose, D-Rhamnose)",464,Faecalibacterium prausnitzii,3,0.00590407732815923,151,70184
9,2214,Stachyose,887,Proteus penneri,2,-0.0010000000000000009,156,38368
10,2153,L-Threonine (Threonine),1064,Streptococcus salivarius,3,-3.776937844945927e-05,193,71071
11,2212,Spermidine,1067,Streptococcus thermophilus,2,0.0017582636936880336,235,38008
12,2240,"Valerate (Pentanoic acid, Pentanoate)",953,Roseburia inulinivorans,3,0.007157702588477033,263,86883
13,2081,Deoxycholic acid,158,Bifidobacterium pseudocatenulatum,2,0.010351222564732865,280,14297
14,2224,Taurodeoxycholate,136,Bacteroides vulgatus,3,0.001724906448198671,295,83785
15,2153,L-Threonine (Threonine),464,Faecalibacterium prausnitzii,3,0.005120048591317539,302,70976
16,2134,"L-Glutamine (D-Glutamine, Glutamine)",162,Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus),3,0.0006237009471815602,315,67166
17,2002,"1,2-diacylglycerol (1-acylglycerol, Monoacylglycerol, Monoglyceride, Monoacylglycerol)",464,Faecalibacterium prausnitzii,3,0.0003277908924869122,342,44048
18,2001,"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)",813,Parabacteroides johnsonii,3,-0.0010000000000000009,428,43889
19,2195,Phenylacetate,804,Oxalobacter formigenes,2,0.0007598586980910316,440,34779
20,2201,Propanoate (Propionate),1055,Streptococcus infantis,3,-0.0009999970099597855,550,79580
21,2104,"Glyoxylate (Glyoxylic acid, Glyoxalate)",1069,Streptococcus vestibularis,3,-0.0010000083690943073,560,62165
