,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2233,Trimethylamine,54,Alistipes putredinis,2,0.03854564242642389,1,15122
1,2122,Isovalerate (3-Methylbutanoic acid),953,Roseburia inulinivorans,3,0.013800013588576299,2,23676
2,2038,Butyrate,966,Ruminococcus gnavus,2,0.0003676207953435817,10,2583
3,2122,Isovalerate (3-Methylbutanoic acid),969,Ruminococcus torques,2,2.232713642869033e-05,15,7769
4,2049,Cholic acid (Cholate),457,Eubacterium rectale,3,0.03157484165716484,24,19049
5,2041,Caproate (Hexanoate),460,Eubacterium siraeum,3,0.0009749177840079337,33,18618
6,2242,XOS (Xylooligosaccharide),123,Bacteroides dorei,3,0.010951004756028948,35,31689
7,2174,N-Acetylgalactosamine (N-Acetyl-D-galactosamine),338,Coprococcus comes,3,-0.00010984625801202519,45,27177
8,2122,Isovalerate (3-Methylbutanoic acid),796,Odoribacter splanchnicus,2,0.0004034490561249937,47,7754
9,2225,Taurolithocholate,878,Prevotella salivae,2,-0.0010000000000000009,49,14672
10,2011,4-Aminobutyrate (GABA),796,Odoribacter splanchnicus,3,0.011617381909919788,70,16682
11,2217,Succinate,878,Prevotella salivae,2,0.002238353690976025,71,14096
12,2122,Isovalerate (3-Methylbutanoic acid),133,Bacteroides stercoris,3,0.0022281801751793395,72,23631
13,2122,Isovalerate (3-Methylbutanoic acid),457,Eubacterium rectale,3,0.009462442303090679,74,23657
14,2233,Trimethylamine,135,Bacteroides uniformis,3,0.00044562840050310637,78,31049
15,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",124,Bacteroides eggerthii,3,0.00310650191360895,82,24346
16,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",455,Eubacterium hallii,3,0.02472823358570475,104,24375
17,2140,L-Isoleucine (Isoleucine),121,Bacteroides coprocola,3,0.0013379008587904861,117,24847
18,2070,D-Lyxose (L-Lyxose),1064,Streptococcus salivarius,3,0.0029409851564039524,121,20373
19,2217,Succinate,1099,Sutterella wadsworthensis,2,0.0002109621699557529,134,14111
20,2122,Isovalerate (3-Methylbutanoic acid),137,Bacteroides xylanisolvens,2,1.1335812543644685e-05,139,7722
