,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2202,"Propanol (n-propanol, 1-Propanol)",966,Ruminococcus gnavus,2,0.00038911906152561127,0,13095
1,2233,Trimethylamine,54,Alistipes putredinis,2,0.03858408530694335,2,15122
2,2134,"L-Glutamine (D-Glutamine, Glutamine)",425,Eggerthella lenta,2,0.0009675258428664124,7,8533
3,2122,Isovalerate (3-Methylbutanoic acid),457,Eubacterium rectale,3,0.01434980732891622,21,23657
4,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",121,Bacteroides coprocola,3,0.0012179618892084187,43,24343
5,2122,Isovalerate (3-Methylbutanoic acid),149,Bifidobacterium adolescentis,2,0.005794080670577295,51,7723
6,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",878,Prevotella salivae,2,0.00015926216639716717,52,8480
7,2122,Isovalerate (3-Methylbutanoic acid),133,Bacteroides stercoris,3,0.0002911751960382736,67,23631
8,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",870,Prevotella copri,3,0.002474313867108391,74,24391
9,2122,Isovalerate (3-Methylbutanoic acid),964,Ruminococcus bromii,3,0.0009712560663073244,76,23677
10,2122,Isovalerate (3-Methylbutanoic acid),54,Alistipes putredinis,2,-0.00034493895438914013,78,7706
11,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",314,Clostridium leptum,2,0.00026040358089218785,79,9029
12,2211,Shikimate,968,Ruminococcus obeum,3,0.0034931296017622904,82,29656
13,2122,Isovalerate (3-Methylbutanoic acid),149,Bifidobacterium adolescentis,3,0.00042419385980663193,83,23635
14,2010,"4-Aminobenzoate (para-amino, Benzoic acid)",161,Blautia hansenii (Ruminococcus hansenii),3,0.0033055351595602245,98,16586
15,2043,Cellobiose,126,Bacteroides fragilis,3,0.0013352062812761467,112,18732
16,2122,Isovalerate (3-Methylbutanoic acid),157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",3,0.003619997700641253,114,23639
17,2075,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",161,Blautia hansenii (Ruminococcus hansenii),3,0.009381878550021039,138,20690
18,2127,L-Arginine (Arginine),75,Anaerostipes caccae,3,0.0011364522367489638,144,23908
19,2212,Spermidine,969,Ruminococcus torques,2,3.6581661791212916e-05,150,13817
20,2128,L-Asparagine (Asparagine),129,Bacteroides ovatus,3,0.005627510457073548,153,23989
21,2122,Isovalerate (3-Methylbutanoic acid),953,Roseburia inulinivorans,3,0.00019281325966269414,163,23676
22,2111,Histamine,796,Odoribacter splanchnicus,3,0.006867953400109372,165,23018
23,2135,L-Glycine (Glycine),126,Bacteroides fragilis,3,0.01810295927587935,175,24492
24,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",870,Prevotella copri,2,0.0017364547243726713,189,9055
25,2122,Isovalerate (3-Methylbutanoic acid),124,Bacteroides eggerthii,3,-0.00012268897093536957,197,23626
26,2065,D-Galacturonate,159,Bilophila wadsworthia,3,0.014013245632730875,200,19969
27,2122,Isovalerate (3-Methylbutanoic acid),134,Bacteroides thetaiotaomicron,2,0.0002367463854677787,210,7720
28,2122,Isovalerate (3-Methylbutanoic acid),326,Clostridium symbiosum,2,1.796831166001045e-05,218,7735
29,2201,Propanoate (Propionate),161,Blautia hansenii (Ruminococcus hansenii),3,0.008364099034516292,220,28898
30,2176,N2,129,Bacteroides ovatus,3,-0.0001066653123937833,221,27301
31,2127,L-Arginine (Arginine),157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",3,0.01203736083424456,225,23927
